Course Name,Course Code,Course Description,Distribution Requirements,Breadth Requirements,Prerequisites,Corequisites,Hours
Arts & Science Internship Program,PDC331H1,"This course is a mandatory component of the Arts & Science Internship Program (ASIP) for students admitted to the ASIP stream of their program for Year 3. Students admitted for Year 3 must successfully complete this course to graduate from the ASIP Stream of their program of study. The course will help students build transferable skills essential for success in the workplace and in the evolving world of work. The course will also support and help guide students through the next recruitment cycle. Topics will include: job search support for recruitment cycle II and skills development modules. Skill development topics will continue from  PDC330H1, with an additional focus on: Project management skills including, Problem Solving and Critical Thinking, Teamwork and Leadership, Goal Setting and Planning, professional responsibility, workplace organization skills, workplace writing and communication. This course does not carry credit weight and is evaluated as Credit/No Credit. No tuition fee is associated, however an ancillary fee will be assessed. Refer to the ASIP Fees & Financial Aid website for further details. Students who enrolled in the ASIP stream of their program in Year 2 should enrol in  PDC321H1.",N/A,N/A,Prerequisite: PDC330H1,N/A,N/A
Pharmaceutics 1,PHC230H1,"An introduction to the key concepts in the design, manufacture, and use of efficacious dosage forms. The course covers the characteristics of different delivery routes.",Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),Prerequisite: ( CHM135H1 and  CHM136H1)/  CHM151Y1;  CHM220H1/  CHM222H1,N/A,Hours: 36L/12T
Molecular Pharmacology 1,PHC300H1,Structural and mechanistic determinants of drug action at the molecular level. Topics include the physical-chemical properties of drugs per se as they relate to therapeutic intervention and the biophysical and biochemical properties of enzymes and nucleic acids that underlie and are affected by their interactions with drugs.,Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),"Prerequisite: ( CHM135H1,  CHM136H1)/  CHM151Y1;  CHM220H1/  CHM222H1",N/A,Hours: 24L/12T
Molecular Pharmacology 2,PHC301H1,Structural and mechanistic determinants of drug action via macromolecules that effect cellular signalling. Neurohumoral receptors and other signalling proteins are grouped according to their structure and mechanism of action. Native properties and their modulation by drugs are discussed in the context of basic principles of molecular pharmacology.,Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),"Prerequisite: ( CHM135H1,  CHM136H1)/  CHM151Y1;  CHM220H1/  CHM222H1;  BCH210H1",N/A,Hours: 36L/12T
Medicinal Chemistry,PHC320H1,"Modern discovery and synthesis of antibiotics, antineoplastics, antiviral and other therapeutic agents.",Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),"Prerequisite: BCH210H1,  CHM247H1/ CHM249H1",N/A,Hours: 36L
Pharmaceutics 2,PHC330H1,This course presents a detailed examination of the material properties of pharmaceuticals and the role of cellular processes in delivery of a drug to its site of action.,Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),"Prerequisite: ( CHM135H1,  CHM136H1)/  CHM151Y1;  CHM220H1/  CHM222H1",N/A,Hours: 36L/12T
Establishing the Bioequivalence of Pharmaceutical Products,PHC331H1,Introduction to human clinical trial design for the demonstration of pharmaceutical bioequivalence of drug products. Students will learn the principles underlying the regulations and methods employed in bioequivalence studies.,Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),"Prerequisite: BCH210H1,  CHM247H1/ CHM249H1, ( MAT135H1,  MAT136H1)/ MAT137Y1,  PHC230H1,  PHC330H1",N/A,Hours: 48L
Pharmaceutical Chemistry Laboratory,PHC340Y1,The scientific basis and practical techniques relevant to modern pharmaceutical development. This course is restricted to Pharmaceutical Chemistry Specialist program students.,Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),"Prerequisite: CHM247H1/ CHM249H1; ( CHM220H1/ CHM222H1),  CHM223H1;  BCH210H1",N/A,Hours: 24L/96P
Drug Transport across Biological Membranes,PHC401H1,The goal of this course is to provide students with knowledge of the molecular processes involved in drug transport across biological cell membranes with emphasis on their physiological and clinical significance. This course is restricted to Pharmaceutical Chemistry Specialist program students.,Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),"Prerequisite: PHC301H1, and enrolled as a Year 4 student in the Pharmaceutical Chemistry specialist program.",Corequisite: PHC300H1,Hours: 24L
Application of Medicinal Chemistry to Pharmacology,PHC420H1,This course shows students the links between basic science and the drugs used therapeutically to treat clinical problems. This course is restricted to Pharmaceutical Chemistry specialist program students.,Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),"Prerequisite: PHC301H1,  PHC320H1, and enrolled as a Year 4 student in the Pharmaceutical Chemistry specialist program.",N/A,Hours: 24L
Biomolecular Interactions and Thermodynamics I,PHC421H1,This course will consider many of the topics presented in the first half in much greater detail including a rigorous examination of the interpretation of experimental data. This course is intended for students whose research or interest is in the thermodynamics of biological molecules. This course is restricted to Pharmaceutical Chemistry specialist program students.,Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),Prerequisite: Enrolled as a Year 4 student in the Pharmaceutical Chemistry specialist program.,N/A,Hours: 36L
Recent Developments in Dosage Form Design,PHC430H1,Introduction to controlled drug delivery: Mechanisms and kinetics of controlled drug release. Fundamental theories and mathematical tools for the design of modern dosage forms. Development and applications of controlled drug delivery dosage forms. This course is restricted to Pharmaceutical Chemistry specialist program students.,Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),Prerequisite: Enrolled as a Year 4 student in the Pharmaceutical Chemistry specialist program.,N/A,Hours: 24L
Selected Topics in Drug Development,PHC431H1,In-depth discussion of implementation of pharmaceutical sciences in drug development strategies. Students will apply fundamental principles of pharmaceutics and drug delivery to current problems in the pharmaceutical industry. This course is restricted to Pharmaceutical Chemistry specialist program students.,Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),Prerequisite: Enrolled as a Year 4 student in the Pharmaceutical Chemistry specialist program.,N/A,Hours: 24L
Nanomedicines in Oncology,PHC432H1,"This course covers a range of topics that pertain to the development and application of nanomedicines in oncology. Students will gain an understanding of the biological barriers to drug delivery in oncology as well as the tremendous heterogeneity in cancer and the challenge this presents for treatment. The concepts of passive and active targeting of nanomedicines will be covered with critical assessment of the enhanced permeability and retention effect. A detailed overview of the most advanced nanotechnology-platforms for drug delivery (i.e., liposomes, block copolymer micelles and polymer-drug conjugates) will be provided with additional discussion of new emerging platforms. The integration of imaging in drug development and development of theranostics and therapeutic-diagnostic pairs will also be discussed. Special emphasis on critical evaluation of scientific literature and pre-clinical/clinical studies will be made throughout the course.",Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),"Prerequisite: PHC230H1,  PHC330H1 and enrolled as a Year 4 student in the Pharmaceutical Chemistry specialist program.",N/A,Hours: 24L
Pharmaceutical Data Acquisition and Analysis,PHC435H1,Application and development of devices for the purpose of collecting and analyzing experimental data in pharmaceutical development and manufacture.,Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),"Prerequisite: BCH210H1,  CHM247H1/ CHM249H1, ( MAT135H1,  MAT136H1)/ MAT137Y1,  PHC340Y1 and enrolled as a Year 4 student in the Pharmaceutical Chemistry specialist program.",N/A,Hours: 22L/26P
Fundamentals of Drug Discovery,PHC460H1,"Lectures by scientists from academia and industry, and student seminars based on journal articles dealing with strategies for discovering new drugs for therapy and diagnosis. This course is restricted to Pharmaceutical Chemistry specialist program students.",Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),"Prerequisite: BIO120H1,  BIO130H1,  PHC301H1 and enrolled as a Year 4 student in the Pharmaceutical Chemistry program.",N/A,Hours: 24L
Clinical Drug Development,PHC462H1,"This course is designed to broaden student’s understanding of the development and licensing of new drugs and how scientific principles, ethics, governmental regulations and commercial considerations are coordinated for designing clinical trails. The format involves lectures, group discussion and student presentations. This course is restricted to Pharmaceutical Chemistry specialist program students.",Distribution Requirements: Science,Breadth Requirements: Society and its Institutions (3),"Prerequisite: PHC230H1,  PHC301H1,  PHC340Y1 and enrolled as a Year 4 student in the Pharmaceutical Chemistry specialist program.",N/A,Hours: 24L
Global Pharmaceutical Policy,PHC470H1,"This course is designed for students who are interested in the critical analysis of global health policy and the interrelationship between global and domestic policy issues. The course will introduce students generally to the basic concepts and issues in global health with a particular focus on pharmaceutical policy. We will address key issues in health and discuss core institutional and transnational actors, how governments in different jurisdictions manage public health responsibilities, the tension between economic imperatives and health objectives, global obligations, and pressure from special interest groups. More narrowly, we will analyze a breadth of complex policies questions. Examples include: the research and development global divide, policial issues influences on pharmaceutical policy, how global commitments, such as membership in the World Trade Organization, conflict with or correspond to domestic policy directions and national sovereignty. Guest speakers will lead some sessions. This course will consist of lectures, guest discussions, case studies and student-led presentations. This is restricted to students in the Pharmaceutical Chemistry specialist program.",N/A,Breadth Requirements: Society and its Institutions (3),Prerequisite: Enrolled as a Year 4 student in the Pharmaceutical Chemistry specialist program.,N/A,Hours: 24L/2T
Pharmaceutical Chemistry Research,PHC489Y1,This course will provide research experience under the supervision of a Departmental staff member. The goal is to deepen the student’s understanding of the scientific basis and practical techniques relevant to modern pharmaceutical development. This course is restricted to Pharmaceutical Chemistry specialist program students. Not eligible for CR/NCR option.,Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),Prerequisite: Permission from the Course Coordinator and enrolled as a Year 4 student in the Pharmaceutical Chemistry specialist program.,N/A,Hours: 165P
Introduction to Philosophy (Historical),PHL100Y1,"An introduction to the central branches of philosophy, such as logic, theory of knowledge, metaphysics, ethics, and political philosophy. Writings from the central figures in the history of Western and non-Western philosophy, as well as contemporary philosophers, may be considered.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 48L/24T
Introduction to Philosophy (Thematic),PHL101Y1,An introduction to some of the central problems of philosophy. Examples of questions that may be considered include: What is sound reasoning? What can we know? What is ultimately real? Is morality rational? Do humans have free will? Is there a God? What is consciousness? Should we fear death? What is justice?,Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 48L/24T
"Philosophy, Film, and Social Criticism",PHL196H1,"This course will critically examine the role of cinema in relation to selected topics and themes in social and political philosophy; these will vary from year to year, but may include race, ethnic and cultural 'other'-ness, class, social conflict, citizenship, cosmopolitanism, and human rights. Films will be screened in class and discussed against the background of focused critical and philosophical readings. Restricted to first-year students. Not eligible for CR/NCR option.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 48S
Introduction to Philosophical Anthropology,PHL197H1,"Philosophical anthropology is the subject that poses the most fundamental questions about human nature and the human condition. Taking as its point of departure the most up-to-date scientific understanding of human nature, from anthropology broadly conceived, it goes on to inquire, in a disciplined fashion, about the implications of these views for perennial philosophical questions about human rationality, morality, the possibility of progress, the existence of god and the meaning of life. This course will examine one or more topics in this domain, as a more general introduction to the discipline. Restricted to first-year students. Not eligible for CR/NCR option.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 24S
Philosophy of Time,PHL198H1,"The passage of time is a fundamental aspect of human experience: we are born, we grow older, and eventually we pass away. During our lives our experience of the past, present, and future are distinct. We can influence the world in the present and the future, but it does not seem that we can influence the past. We have hopes about the future, memories of the past, and experiences of the present. In this seminar we will explore insights from contemporary philosophy and physics concerning the nature of the passage of time. Questions to be considered may include the following: What does it mean to say that time passes? Does time really pass at all? How do we experience time? Why can we influence the future but not the past? Is it possible to travel backward in time? Is time even real? What is time? Restricted to first-year students. Not eligible for CR/NCR option.",Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),N/A,N/A,Hours: 24S
Ethics and Fiction,PHL199H1,"The goal of this seminar is to investigate selected ethical questions via works of fiction, considering how, and with what effect, fiction functions as an ethical medium. We will reflect on what fiction can teach us about pressing challenges of the human condition; themes to be discussed will vary from year to year, but may include choice and responsibility, freedom, friendship, empathy, integrity, and our relation to the divine and to death. Genres studied may range over novels, short stories, plays, and narrative poetry. Restricted to first-year students. Not eligible for CR/NCR option.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 24S
Ancient Philosophy,PHL200Y1,"Central texts of the pre-Socratics, Plato, Aristotle, and post-Aristotelian philosophy.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 72L
Introductory Philosophy,PHL201H1,"An introduction to philosophy focusing on the connections among its main branches: logic, theory of knowledge, metaphysics, and ethics. This course is intended for those with little or no philosophy background but who have completed Year 1 in any area of study.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",Prerequisite: 4.0 credits in any subject,N/A,Hours: 36L
Early Medieval Philosophy,PHL205H1,"A study of issues such as the relations of reason and faith, the being and the nature of God, and the problem of universals, in the writings of such philosophers as Augustine, Boethius, Anselm and Abelard.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 36L
Later Medieval Philosophy,PHL206H1,"A study of issues such as the relations of reason and faith, the being and the nature of God, and the structure of the universe, in the writings of such philosophers as Aquinas and Ockham.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 36L
17th-and 18th-Century Philosophy,PHL210Y1,"Central texts of such philosophers as Hobbes, Descartes, Spinoza, Leibniz, Locke, Berkeley, Hume, and Kant.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 72L
Introduction to Continental Philosophy,PHL217H1,"An introduction to some of the post-Hegelian thinkers who inspired the various philosophical movements broadly referred to as continental, such as phenomenology, existentialism, deconstruction, and post-modernism. Questions include the will, faith, death, existence, history and politics, rationality and its limits, encountering an other. Authors studied may include: Kierkegaard, Schopenhauer, Nietzsche, Marx, Freud, Heidegger, Sartre.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 36L
Knowledge and Reality,PHL232H1,"An introduction to issues in the fundamental branches of philosophy: metaphysics, which considers the overall framework of reality; epistemology, or the theory of knowledge; and related problems in the philosophy of science. Topics in metaphysics may include: mind and body, causality, space and time, God, freedom and determinism; topics in epistemology may include perception, evidence, belief, truth, skepticism.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 36L
Philosophy for Scientists,PHL233H1,"An introduction to philosophy tailored for students with backgrounds in mathematics and science. Topics include causation, explanation, the relation between scientific and mathematical theories and reality, the role of mathematics in scientific theories, the relevance of scientific and mathematical discoveries to ‘big’ traditional philosophical questions such as the nature of consciousness, whether we have free will, and the meaning of life.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,"Corequisite: 1.0 credit in Mathematics, Physics, Chemistry, Engineering, or Computer Science",Hours: 24L/12T
Philosophy of Religion,PHL235H1,"Some central issues in the philosophy of religion such as the nature of religion and religious faith, arguments for the existence of God, the problem of evil, varieties of religious experience, religion and human autonomy.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 36L
Buddhist Philosophy,PHL236H1,"This course is an introduction to topics, schools, and figures in Buddhist philosophy. Texts to be read (in English translation) will range from the Pāli Canon (attributed directly to the Buddha) via Sanskrit and Tibetan Buddhist schools to contemporary Buddhist reflections. Themes and topics will be selected from those prominent in Buddhist texts: emptiness, impermanence, and non-selfhood; the theory of inference; perception and epistemology; philosophy of language; and philosophy of action. Texts and authors to be studied will standardly include the Pāli Canon, and one or more among Nāgārjuna, Vasubandhu, Dharmakīrti, Milarepa and contemporary Buddhist thinkers.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 36L
Introduction to Chinese Philosophy,PHL237H1,"A historical introduction to Chinese philosophy, covering selected figures and texts from the Warring States period through the Qīng dynasty. Schools of thought covered include Confucianism, Mohism, Daoism, Legalism, ""Profound Learning,"" Neo-Confucianism, and ""Evidential Learning."" Texts and thinkers include the Confucian Analects, Mòzǐ, Mèngzǐ, Xúnzǐ, Dàodéjīng, Zhuāngzǐ, Hán Fēi, Guō Xiàng, Zhū Xī, Wáng Yángmíng, and Dài Zhèn.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 36L
Reason and Irrationality,PHL238H1,How does one live one’s life without falling victim to various forms of irrationality? This course offers theoretical insight and practical guidance regarding norms of rationality and how we can live by them. Topics to be addressed include: informal logic; criteria for the assessment of arguments; common fallacies; truth and noncontradiction as norms; cognitive biases; “thinking fast and slow” and behavioral economics; conspiracy theories; and media ethics.,Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 36L
Introduction to South Asian Philosophy,PHL239H1,"An introduction to the main schools, thinkers, and topics in the philosophical thought of the Sanskrit world, covering various topics, from epistemology to philosophy of religion. Students will get acquainted with one of the world's richest philosophical traditions and its challenges.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 36L
"Persons, Minds and Bodies",PHL240H1,Consciousness and its relation to the body; personal identity and survival; knowledge of other minds; psychological events and behaviour.,Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 36L
Philosophy of Human Sexuality,PHL243H1,"Philosophical issues about sex and sexual identity in the light of biological, psychological and ethical theories of sex and gender; the concept of gender; male and female sex roles; perverse sex; sexual liberation; love and sexuality.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 36L
Human Nature,PHL244H1,"Aspects of human nature, e.g., emotion, instincts, motivation. Theories of human nature, e.g., behaviourism, psychoanalysis.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 36L
Modern Symbolic Logic,PHL245H1,"An introduction to formal deductive logic. Semantics, symbolization, and techniques of natural deduction in sentential logic. Symbolization, natural deduction, and models in monadic predicate logic. Symbolization and natural deduction with polyadic predicates. Introduction to advanced concepts in first-order logic, such as operations, identity, and models.",N/A,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 36L
Probability and Inductive Logic,PHL246H1,"The elements of axiomatic probability theory and its main interpretations (frequency, logical, and subjective). Reasoning with probabilities in decision-making and science.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 36L
Philosophy of Science,PHL255H1,"This course is an introduction to contemporary topics in the philosophy of science which serves as preparation for more advanced study in general philosophy of science and philosophy of the particular sciences. Topics may include the rise and fall of logical positivism, the problem of demarcation, falsificationism, confirmation, the connection between theory and observation, the value free ideal, and the epistemic authority of scientists.",Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),N/A,N/A,Hours: 24L/12T
Philosophy of the Internet,PHL256H1,"The internet and digital technology have had a transformative impact on the economy, society and politics, art and culture, and everyday life. This course explores the fascinating, often urgent, new philosophical questions raised by these changes as well as the way they invite a rethinking of many older philosophical questions. Topics to be addressed may include ethical problems relating to artificial intelligence and algorithms; identity through social media; digital ownership and privacy; and collective/distributed knowledge in its relation to information, among others.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 36L
Introduction to Political Philosophy,PHL265H1,"An introduction to central issues in political philosophy, e.g., political and social justice, liberty and the criteria of good government. The writings of contemporary political philosophers, as well as major figures in the history of philosophy, may be considered.",Distribution Requirements: Humanities,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 36L
Philosophy and Social Criticism,PHL268H1,"Is the objective of philosophy to understand and interpret the world, or to change it? A study of theorists who have taken philosophy to be a tool for social criticism. Topics studied may include feminism, critical race theory, anti-consumerism, the critique of mass society, new social movements and conservative cultural criticism.",Distribution Requirements: Humanities,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 36L
Philosophy of Race,PHL269H1,"What is the meaning of race? How does it affect political philosophy? Is there an ethics of race? These are some of the questions that will be covered in this course on the critical philosophy of race. Students will be introduced to problems concerning the metaphysics of race, race and political injustice, ethics and recognition, race and aesthetic critique, and others.",Distribution Requirements: Humanities,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 24L/12T
Law and Morality,PHL271H1,"Justifications for the legal enforcement of morality; particular ethical issues arising out of the intersection of law and morality, such as punishment, freedom of expression and censorship, autonomy and paternalism, constitutional protection of human rights.",Distribution Requirements: Humanities,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 36L
Environmental Ethics,PHL273H1,"A study of environmental issues raising questions of concern to moral and political philosophers, such as property rights, responsibility for future generations, and the interaction of human beings with the rest of nature. Typical issues: sustainable development, alternative energy, the preservation of wilderness areas, animal rights.",Distribution Requirements: Humanities,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 36L
Introduction to Ethics,PHL275H1,"An introduction to central issues in ethics or moral philosophy, such as the objectivity of values, the nature of moral judgements, rights and duties, the virtues, and consequentialism. Readings may be drawn from a variety of contemporary and historical sources.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 36L
Philosophy of Sports,PHL276H1,"Sports play a complex role in contemporary society. They offer recreational participants a source of meaning in life and professional participants a livelihood. They inspire intense devotion from fans. They are a crucible for debates about fair play, medical enhancement, sex, gender, race, and sexuality. This course will explore the nature and ethics of sports.",Distribution Requirements: Humanities,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 24L/12T
Bioethics,PHL281H1,"An introduction to the study of moral and legal problems in medical practice and in biomedical research; the development of health policy. Topics include: concepts of health and disease, patient rights, informed consent, allocation of scarce resources, euthanasia, abortion, genetic and reproductive technologies, human research, and mental health.",Distribution Requirements: Humanities,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 36L
Aesthetics,PHL285H1,"An historical and systematic introduction to the main questions in the philosophy of art and beauty from Plato to the present. These include the relation between art and beauty, the nature of aesthetic experience, definitions and theories of art, the criteria of excellence in the arts, and the function of art criticism.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 36L
Business Ethics,PHL295H1,"Philosophical issues in ethics, social theory, and theories of human nature insofar as they bear on contemporary conduct of business. Issues include: Does business have moral responsibilities? Can social costs and benefits be calculated? Does modern business life determine human nature or the other way around? Do political ideas and institutions such as democracy have a role within business?",Distribution Requirements: Humanities,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 36L
Research Opportunity Program,PHL299Y1,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program. Not eligible for CR/NCR option.,Distribution Requirements: Humanities,N/A,N/A,N/A,N/A
Early Greek Philosophy,PHL301H1,"A study of selected Greek philosophers before Plato. Topics may include the Pre-Socratic natural philosophers, Parmenides and the Eleatics, and the so-called sophistic movement.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: PHL200Y1, 7.5 courses (in any field) with at least 1.5 in philosophy",N/A,Hours: 36L
Ancient Philosophy After Aristotle,PHL302H1,"A study of selected themes in post-Aristotelian philosophy. Topics may include Stoicism, Epicureanism, Neoplatonism, and various forms of scepticism.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: PHL200Y1, 7.5 courses (in any field) with at least 1.5 in philosophy",N/A,Hours: 36L
Plato,PHL303H1,"Selected metaphysical, epistemological, and ethical themes in Plato’s dialogues.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: PHL200Y1, 7.5 courses (in any field) with at least 1.5 in philosophy",N/A,Hours: 36L
Aristotle,PHL304H1,"Selected anthropological, ethical and metaphysical themes in the works of Aristotle.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: PHL200Y1, 7.5 courses (in any field) with at least 1.5 in philosophy",N/A,Hours: 36L
Augustine,PHL307H1,"Central themes in St. Augustine's Christian philosophy, such as the problem of evil, the interior way to God, the goal of human life and the meaning of history.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: PHL200Y1/ PHL205H1, 7.5 courses (in any field) with at least 1.5 in philosophy",N/A,Hours: 36L
Aquinas,PHL308H1,"Philosophical innovations that St. Thomas Aquinas made in the course of constructing a systematic theology: essence and existence, the Five Ways, separate intelligences, the human soul and ethics.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: PHL200Y1/ PHL205H1/ PHL206H1, 7.5 courses (in any field) with at least 1.5 in philosophy",N/A,Hours: 36L
Topics in Medieval Philosophy,PHL309H1,"Study of a major philosophical figure from the medieval period, such as Anselm, Abelard, Bonaventure, Maimonides, Avicenna, Duns Scotus, William of Ockham; or consideration of a central philosophical topic in a variety of medieval authors, for example, universals, individuation, the existence of God, free will and free choice, eternity and creation.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: PHL200Y1/ PHL205H1/ PHL206H1, 7.5 courses (in any field) with at least 1.5 in philosophy",N/A,Hours: 36L
The Rationalists,PHL310H1,"Central philosophical problems in philosophers such as Descartes, Spinoza, Leibniz, and their contemporaries.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: PHL210Y1, 7.5 courses (in any field) with at least 1.5 in philosophy",N/A,Hours: 36L
The Empiricists,PHL311H1,"Central philosophical problems in philosophers such as Locke, Berkeley, Hume, and their contemporaries.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: PHL210Y1, 7.5 courses (in any field) with at least 1.5 in philosophy",N/A,Hours: 36L
Topics in 17th and 18th Century Philosophy,PHL313H1,Central philosophical problems arising in the early modern period.,Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: PHL210Y1, 7.5 courses (in any field) with at least 1.5 in philosophy",N/A,Hours: 36L
Kant,PHL314H1,A systematic study of The Critique of Pure Reason.,Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: PHL210Y1, 7.5 courses (in any field) with at least 1.5 in philosophy",N/A,Hours: 36L
Topics in 19th-Century Philosophy,PHL315H1,Central philosophical problems arising in the 19th century.,Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: PHL210Y1, 7.5 courses (in any field) with at least 1.5 in philosophy",N/A,Hours: 36L
Hegel,PHL316H1,"An examination of Hegel's project of absolute knowing, its philosophical assumptions, and its implications for history, science and experience.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: PHL210Y1, 7.5 courses (in any field) with at least 1.5 in philosophy",N/A,Hours: 36L
Marx and Marxism,PHL317H1,"An examination of some of the leading themes in the philosophy of Karl Marx. Developments of Marxist philosophy by later thinkers, and critics of Marxism, may also be considered.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",Prerequisite: 7.5 courses (in any field) with at least 1.5 in philosophy,N/A,Hours: 36L
Philosophy and Psychoanalytic Theory,PHL319H1,"A study of the fundamentals of psychoanalytic theory from a philosophical perspective, focusing on the works of Freud and others. Topics include mind (conscious and unconscious), instinctual drives, mechanisms of defence, the structure of personality, civilization, the nature of conscience, and the status of psychoanalysis.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 36L
